OBJECTID;DFIRM_ID;FLD_AR_ID;DUAL_ZONE;SOURCE_CIT;ShapeSTArea;ShapeSTLength
2162;06037C;06037C_2383;F;06037C_STUDY10;4.04613729187986e-07;0.00488068475538755
2163;06037C;06037C_2384;F;06037C_STUDY10;4.98644794788561e-07;0.00459265015144253
2164;06037C;06037C_2385;F;06037C_STUDY10;2.27030113819637e-07;0.00186518897382378
2165;06037C;06037C_2442;F;06037C_STUDY10;6.26189830654766e-07;0.00423593327903781
2166;06037C;06037C_2443;F;06037C_STUDY10;4.20324568040087e-07;0.0025679602556866
2167;06037C;06037C_2444;F;06037C_STUDY10;1.01666751106677e-06;0.00955061897045076
2168;06037C;06037C_2498;F;06037C_STUDY10;1.60577883434598e-06;0.00830650068626326
2169;06037C;06037C_2499;F;06037C_STUDY10;6.5413405536674e-07;0.00990398462574245
2170;06037C;06037C_2576;F;06037C_STUDY10;2.28695853365934e-07;0.00243779296689148
2171;06037C;06037C_2577;F;06037C_STUDY10;1.54955159814563e-07;0.00158355709161275
2172;06037C;06037C_2578;F;06037C_STUDY10;3.40294036504929e-07;0.00250780172233724
2173;06037C;06037C_2579;F;06037C_STUDY10;1.36188714350283e-06;0.00806384720534031
2174;06037C;06037C_2580;F;06037C_STUDY10;7.70609631217667e-07;0.0126203282953204
2175;06037C;06037C_2646;F;06037C_STUDY10;4.30036607212969e-07;0.00298109517775971
2176;06037C;06037C_2647;F;06037C_STUDY10;2.77835169981699e-07;0.00200993117685301
2177;06037C;06037C_2648;F;06037C_STUDY10;2.99907924272702e-07;0.00588826971226382
2178;06037C;06037C_2649;F;06037C_STUDY10;3.55333213519771e-07;0.00327431676588934
2179;06037C;06037C_2650;F;06037C_STUDY10;3.12265228785691e-07;0.00416490151479901
2180;06037C;06037C_2732;F;06037C_STUDY10;1.71902229340049e-07;0.00289500012870898
2181;06037C;06037C_2733;F;06037C_STUDY10;2.73740170086967e-07;0.00424963841709023
2182;06037C;06037C_2734;F;06037C_STUDY10;3.07731170323677e-07;0.00303535186778387
2183;06037C;06037C_2735;F;06037C_STUDY10;1.33731828100281e-06;0.0079319809603103
2202;06037C;06037C_3167;F;06037C_STUDY10;5.10588279212243e-07;0.00418760870211621
2203;06037C;06037C_3168;F;06037C_STUDY10;4.05691935156938e-07;0.00252128179360855
2204;06037C;06037C_3169;F;06037C_STUDY10;2.89001036435366e-07;0.00237811197714078
2205;06037C;06037C_3170;F;06037C_STUDY10;3.93697291656281e-07;0.00254147126523827
2215;06037C;06037C_3394;F;06037C_STUDY10;4.51942241852521e-07;0.00717902255534282
2216;06037C;06037C_3395;F;06037C_STUDY10;1.96492692339234e-07;0.00449317727375226
2217;06037C;06037C_3396;F;06037C_STUDY10;4.00837961933576e-07;0.00377829879651816
2218;06037C;06037C_3467;F;06037C_STUDY10;1.49379957292695e-07;0.00314129497853122
2219;06037C;06037C_3468;F;06037C_STUDY10;9.29626821744023e-07;0.0137673004955909
2220;06037C;06037C_3469;F;06037C_STUDY10;1.09107554635557e-06;0.00514237468899911
2221;06037C;06037C_3470;F;06037C_STUDY10;2.98332679449231e-07;0.00222630462374507
2222;06037C;06037C_3471;F;06037C_STUDY10;1.50093455886235e-07;0.00172635880380947
2223;06037C;06037C_3472;F;06037C_STUDY10;3.6059100239072e-07;0.00254073789877233
2224;06037C;06037C_3529;F;06037C_STUDY10;1.68880887940759e-07;0.00173010360058022
2225;06037C;06037C_3530;F;06037C_STUDY10;4.15519480156945e-07;0.0030427798725348
2226;06037C;06037C_3531;F;06037C_STUDY10;7.18464207238867e-07;0.00410285682173491
2227;06037C;06037C_3532;F;06037C_STUDY10;5.77133278056863e-07;0.00478278254339746
2228;06037C;06037C_3533;F;06037C_STUDY10;5.54747430214775e-07;0.00326262383631889
2239;06037C;06037C_3770;F;06037C_STUDY10;6.84732867739513e-07;0.00453421147331879
2240;06037C;06037C_3771;F;06037C_STUDY10;3.75007402908523e-09;0.000664767919888713
2241;06037C;06037C_3772;F;06037C_STUDY10;8.39600033941679e-08;0.00231351483996996
2242;06037C;06037C_3773;F;06037C_STUDY10;5.27087422597106e-07;0.00372147598743791
2243;06037C;06037C_3774;F;06037C_STUDY10;3.83556653105188e-09;0.000291490556381016
2244;06037C;06037C_3775;F;06037C_STUDY10;8.1756752479123e-09;0.000850667662769034
2245;06037C;06037C_3776;F;06037C_STUDY10;9.29458110476844e-09;0.000789262379939388
2252;06037C;06037C_528; ;06037C_FIRM1;4.7504954636679e-08;0.00127648477591472
2255;06037C;06037C_531; ;06037C_FIRM1;4.47811089543393e-07;0.00972579230542292
2258;06037C;06037C_652; ;06037C_FIRM1;2.26111751544522e-08;0.00090739095756025
2263;06037C;06037C_657; ;06037C_FIRM1;4.95221329401829e-05;0.0660685132603416
2267;06037C;06037C_661; ;06037C_FIRM1;1.48332901517279e-07;0.00248362794240321
2270;06037C;06037C_790; ;06037C_FIRM1;6.29699570708908e-07;0.00324843996479764
2277;06037C;06037C_907; ;06037C_FIRM1;3.96795553569973e-06;0.0162395977234392
2279;06037C;06037C_909; ;06037C_FIRM1;5.69545136386296e-07;0.00983648326051954
2280;06037C;06037C_910; ;06037C_FIRM1;7.32049102225574e-07;0.00325967134857448
2282;06037C;06037C_912; ;06037C_FIRM1;3.17232820634672e-06;0.013946995935235
2286;06037C;06037C_1146; ;06037C_FIRM1;2.70721557171782e-07;0.00484587527284405
2289;06037C;06037C_1149; ;06037C_FIRM1;1.25038468468119e-07;0.00395521449168858
2291;06037C;06037C_1279; ;06037C_FIS1;1.3199639852246e-06;0.0201179831431815
2292;06037C;06037C_1280; ;06037C_STUDY7;1.81279347089003e-07;0.00268842413796198
2293;06037C;06037C_1281; ;06037C_STUDY7;2.03040144697297e-08;0.00111053053667415
2294;06037C;06037C_1282; ;06037C_STUDY7;8.45557224238291e-09;0.00058486603038362
2295;06037C;06037C_1283; ;06037C_STUDY7;1.03092133940663e-07;0.0022827877451367
2296;06037C;06037C_1284; ;06037C_STUDY7;4.07374045607867e-08;0.00170013981721456
2297;06037C;06037C_1278; ;06037C_STUDY7;8.87791884451872e-08;0.00300750771341943
2298;06037C;06037C_1412; ;06037C_STUDY6;1.81474865712516e-06;0.00854609107090423
2304;06037C;06037C_1523;F;06037C_STUDY9;1.40638485390809e-06;0.0183574372829927
2309;06037C;06037C_1594;F;06037C_STUDY10;1.88665580935776e-07;0.00173610536192845
2310;06037C;06037C_1595;F;06037C_STUDY10;2.19110006582923e-07;0.00400414984570176
2311;06037C;06037C_1596;F;06037C_STUDY10;1.9254548533354e-07;0.00177471746350991
2312;06037C;06037C_1597;F;06037C_STUDY10;4.61467379864189e-07;0.00304577465119638
2313;06037C;06037C_1598;F;06037C_STUDY10;2.19217554331408e-07;0.00201749269449003
2314;06037C;06037C_1599;F;06037C_STUDY10;1.83559677680023e-07;0.0026415257905234
2319;06037C;06037C_2234;F;06037C_FIRM1;0.000100622530908367;0.0586002436970659
2326;06037C;06037C_2241;F;06037C_FIRM1;2.74290096058394e-06;0.0279111636444543
2333;06037C;06037C_2386;F;06037C_STUDY10;4.69631004307303e-07;0.00902080305659677
2334;06037C;06037C_2387;F;06037C_STUDY10;3.8614030017925e-07;0.00276172891078042
2335;06037C;06037C_2388;F;06037C_STUDY10;1.21786183626682e-06;0.00531360771883778
2336;06037C;06037C_2389;F;06037C_STUDY10;7.14046791472356e-07;0.0108418869796606
2337;06037C;06037C_2445;F;06037C_STUDY10;4.92343133373652e-07;0.00425712557012897
2338;06037C;06037C_2446;F;06037C_STUDY10;3.63942945114104e-07;0.0040464689715654
2339;06037C;06037C_2447;F;06037C_STUDY10;5.01946260555997e-07;0.00302007201036784
2340;06037C;06037C_2448;F;06037C_STUDY10;5.13400891577476e-07;0.00321997921197928
2341;06037C;06037C_2500;F;06037C_STUDY10;6.07639776717406e-07;0.00474126377002186
2342;06037C;06037C_2501;F;06037C_STUDY10;4.66596929982188e-07;0.00293008467760744
2343;06037C;06037C_2502;F;06037C_STUDY10;4.79067239211872e-07;0.00328322967721886
2344;06037C;06037C_2503;F;06037C_STUDY10;4.51365167464246e-07;0.0029150992419744
2345;06037C;06037C_2504;F;06037C_STUDY10;3.94172275264282e-07;0.00262102991057388
2346;06037C;06037C_2581;F;06037C_STUDY10;3.51958988176193e-07;0.00244080108784452
2347;06037C;06037C_2582;F;06037C_STUDY10;4.53571601610747e-07;0.0029403708354823
2348;06037C;06037C_2583;F;06037C_STUDY10;1.00837451100233e-06;0.00819590524536092
2349;06037C;06037C_2651;F;06037C_STUDY10;2.47737261815928e-07;0.00390613645819974
2350;06037C;06037C_2652;F;06037C_STUDY10;1.00844772532582e-06;0.0042005476329869
2351;06037C;06037C_2653;F;06037C_STUDY10;3.11854364554165e-07;0.0053121232192676
2352;06037C;06037C_2654;F;06037C_STUDY10;2.99577095574932e-07;0.00332271921431306
2353;06037C;06037C_2736;F;06037C_STUDY10;2.3179723029898e-07;0.00351304723030522
2354;06037C;06037C_2737;F;06037C_STUDY10;1.59135197463911e-07;0.00159705602356995
2355;06037C;06037C_2738;F;06037C_STUDY10;3.42116663887282e-07;0.00295584643265235
2356;06037C;06037C_2739;F;06037C_STUDY10;4.79016080134897e-07;0.00385373067416873
2357;06037C;06037C_2740;F;06037C_STUDY10;1.09161078398756e-06;0.0051851242180232
2386;06037C;06037C_3171;F;06037C_STUDY10;1.01094701676629e-06;0.0109226325086398
2387;06037C;06037C_3172;F;06037C_STUDY10;2.06965069082798e-07;0.0020273001385888
2388;06037C;06037C_3173;F;06037C_STUDY10;2.24411223825882e-07;0.00207551664009656
2389;06037C;06037C_3174;F;06037C_STUDY10;2.30655359700904e-07;0.00211967151769339
2402;06037C;06037C_3397;F;06037C_STUDY10;7.66515768191312e-07;0.00804639904586945
2403;06037C;06037C_3398;F;06037C_STUDY10;3.66884933100664e-07;0.00263403884356625
2404;06037C;06037C_3399;F;06037C_STUDY10;1.46974798553856e-07;0.00170916854414812
2405;06037C;06037C_3400;F;06037C_STUDY10;3.44741465596599e-07;0.00512435401755712
2406;06037C;06037C_3401;F;06037C_STUDY10;2.55473651122884e-07;0.00237261907508003
2407;06037C;06037C_3473;F;06037C_STUDY10;1.73444732354255e-07;0.00158608016207607
2408;06037C;06037C_3474;F;06037C_STUDY10;1.64823177328799e-07;0.00202830938845932
2409;06037C;06037C_3475;F;06037C_STUDY10;3.8050779949117e-07;0.00827506852684769
2410;06037C;06037C_3534;F;06037C_STUDY10;1.56915575644234e-07;0.00280328987972995
