OBJECTID;X;Y;org_name;Name;addrln1;city;post_id;description;zip;latitude;longitude;POINT_X;POINT_Y
157192298;-118.079098057038308;34.140577966910008;NULL;Willard Children's Center;345 S. Halstead;Pasadena;3039;The center provides child care services for people who live and work in the Pasadena Unified School District.;91107;34.140578;-118.079098;6537735.88110039;1873548.81354623
157192338;-118.118695057274323;34.153758966614831;NULL;Jefferson Children's Center;391 N. Sierra Bonita Ave.;Pasadena;3076;The center provides child care services for residents who live, work, or study in the Pasadena Unified School District.;91106;34.153759;-118.118695;6525759.80236231;1878357.4049789
157192404;-118.185354056066188;33.773235967690034;www.yhcc-lb.com;Young Horizons Child Development Centers;501 Atlantic Ave.;Long Beach;3134;The agency provides early childhood education services to low-income families who live or work in the City of Long Beach.;90802;33.773236;-118.185354;6505337.15259089;1739907.41317864
157192414;-118.193882055734974;33.773022967610416;www.yhcc-lb.com;Young Horizons - South Pacific State Preschool;507 Pacific Ave.;Long Beach;3138;The agency provides early childhood education services to low-income families who live or work in the City of Long Beach.;90802;33.773023;-118.193882;6502745.15843105;1739834.78569923
157192446;-118.311664055928631;34.096727966872088;www.assistanceleaguesocal.org;Assistance League Of Southern California - Children's Club;5620 De Longpre Ave.;Los Angeles;3169;The program provides child care services for children age 4 years 9 months to 12 years.;90028;34.096728;-118.311664;6467313.86348014;1857727.84650056
157192484;-118.184224056300181;33.79692796755387;www.ccdlb.org;Comprehensive Child Development - Long Beach Center For Child Development;622 E. Hill St.;Long Beach;3202;The center provides child care and a State Preschool for income-eligible families.;90806;33.796928;-118.184224;6505696.38612439;1748528.95072556
157192526;-118.103680056850081;34.055222967294945;www.maryvale-ca.org;Maryvale Infant, Preschool And Kindergarten Educational Center;7600 E. Graves Ave.;Rosemead;3242;The center provides comprehensive child care services for children age nine months to six years.;91770;34.055223;-118.10368;6530265.52136922;1842493.30380698
157242805;-118.2278710566423;34.048870967229242;www.proyectopastoral.org;Proyecto Pastoral At Dolores Mission;135 N. Mission Rd.;Los Angeles;57006;The agency provides business services, child care, community services, homeless support services, shelter for homeless, volunteer opportunities and youth services to low-income people in the Spanish-speaking community of East Los Angeles.;90033;34.048871;-118.227871;6492642.71210055;1840243.73153448
157242917;-117.862933156940841;34.07356337745091;www.optionscc.org;Options - A Child Care And Human Services Agency;885 S Village Oaks Dr;Covina;57082;The agency provides child care and family service programs for people who live in portions of the San Gabriel Valley and Northeast Los Angeles.;91724;34.07356341;-117.8629331;6603178.96412472;1849179.84030265
157242921;-118.556723056583081;34.407613965991573;www.ymcala.org/;YMCA Santa Clarita Valley Family;26147 McBean Pkwy.;Valencia;;;;;;;
