OBJECTID;X;Y;Name;addrln1;city;post_id;zip;latitude;longitude;POINT_X;POINT_Y
157260865;-118.278911326060225;33.919244114901247;Athens Pool;12603 South Broadway;Los Angeles;83378;90061;33.91924415;-118.27891127;6477050.52642147;1793108.95835014
157260866;-118.253283753746246;33.984038038936497;Bethune Pool;1244 East 61st Street;Los Angeles;83380;90001;33.98403807;-118.2532837;6484885.15806189;1816668.22094281
157260867;-118.260126285536259;33.898854818715058;Campanella Pool;14812 Stanford Avenue;Compton;83382;90220;33.89885485;-118.26012623;6482730.56624247;1785673.56639682
157260868;-118.249823454457456;33.925244986238873;Carver Pool;1400 East 118th Street;Los Angeles;83384;90059;33.92524502;-118.2498234;6485880.99957414;1795269.5944488
157260869;-118.258590287330819;33.913972799227871;Enterprise Pool;13055 Clovis Street;Los Angeles;83386;90059;33.91397283;-118.25859023;6483210.84382522;1791174.12888648
157260870;-118.062379079019479;33.8522681611324;Don Knabe Pool;19700 South Bloomfield Avenue;Cerritos;83388;90701;33.85226819;-118.06237902;6542729.80713613;1768623.28783339
157260871;-118.29216473280654;33.917365487224657;Hellen Keller Pool;12521 South Vermont Avenue;Los Angeles;83390;90044;33.91736552;-118.29216468;6473027.55579288;1792436.70805423
157260872;-118.243735149735585;33.956059260021298;Krejci Pool Washington Park;8908 South Maie Avenue;Los Angeles;83392;90002;33.95605929;-118.24373509;6487755.20612755;1806479.02183306
157260873;-118.358892518148139;33.937848038636375;Lennox Pool;10828 South Condon Avenue;Lennox;83394;90304;33.93784807;-118.35889246;6452809.0348783;1799956.28553472
157260874;-118.230511044775952;33.92172219578989;Mona Park Pool;2291 East 121st Street;Compton;83396;90222;33.92172223;-118.23051099;6491736.88615631;1793973.57637157
157260875;-118.249587711761237;33.944801583641343;Ted Watkins Pool;1335 East 103rd Street;Los Angeles;83398;90002;33.94480162;-118.24958766;6485970.18870021;1802386.4758843
157260876;-118.269737328601039;33.85761471420949;Victoria Pool;419 East 192nd Street;Carson;83400;90746;33.85761475;-118.26973727;6479773.66336364;1770673.03701472
