OBJECTID;COMID;PERMANENT_;AREASQKM;REACHCODE;FTYPE;FCODE;OBJECTID_1;DESCRIPTIO;HYDROGRAPH;Shapearea;Shapelen;InLA
1745;27912440;27912440;0.002;1,81E+13;390;39001;3608;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;20116.4775991171;568.321134472029;Yes
1687;27915718;27915718;0.002;1,81E+13;390;39001;3550;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;20156.8617050918;568.500556040683;Yes
1901;27903956;27903956;0.002;1,81E+13;390;39001;3764;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;17452.5438192662;568.907243474399;Yes
1906;27922924;27922924;0.002;1,81E+13;390;39004;3769;Lake/Pond: Hydrographic Category = Perennial;Perennial;23841.3906011877;570.285843688511;Yes
1631;27684776;27684776;0.002;1,81E+13;436;43613;3494;Reservoir: Reservoir Type = Water Storage;;;;
1470;27684818;27684818;0.002;1,81E+13;390;39001;3333;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;16407.532815051;571.520383622811;Yes
1268;27926874;27926874;0.002; ;361;36100;3131;Playa; ;21709.3870368891;571.718753833338;Yes
1771;27904004;27904004;0.002;1,81E+13;390;39001;3634;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;17186.3310202362;571.76855438228;Yes
1992;27912492;27912492;0.002;1,81E+13;390;39001;3855;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;20290.4418891184;572.202826850292;Yes
1813;27560039;27560039;0.002;1,81E+13;436;43613;3676;Reservoir: Reservoir Type = Water Storage;;;;
1645;27687762;27687762;0.002;1,81E+13;390;39001;3508;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;16248.138712425;574.448932255503;Yes
1398;27687826;27687826;0.002;1,81E+13;436;43613;3261;Reservoir: Reservoir Type = Water Storage;;;;
1514;132735665;132735665;0.002;1,81E+13;436;43613;3377;Reservoir: Reservoir Type = Water Storage;;;;
1197;27915658;27915658;0.002;1,81E+13;390;39001;3060;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;20725.3398875707;576.101203721881;Yes
1781;132735466;132735466;0.002;1,81E+13;390;39001;3644;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;19096.9986610964;577.248036339555;Yes
1939;27912402;27912402;0.002;1,81E+13;390;39001;3802;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;20697.7252142723;577.954221512288;Yes
1135;27913010;27913010;0.002;1,81E+13;390;39001;2998;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;19455.2929805619;579.785987334761;Yes
1215;27109835;27109835;0.002;1,81E+13;390;39004;3078;Lake/Pond: Hydrographic Category = Perennial;Perennial;17673.5911579848;580.216686079281;Yes
1857;27912450;27912450;0.002;1,81E+13;390;39001;3720;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;20785.2268900325;580.238081540538;Yes
1957;27561799;27561799;0.002;1,81E+13;436;43613;3820;Reservoir: Reservoir Type = Water Storage;;;;
1686;27913044;27913044;0.002;1,81E+13;390;39001;3549;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;19752.9276857878;580.360535073613;Yes
2000;27927918;27927918;0.002;1,81E+13;390;39001;3863;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;20983.1173153759;580.504011320181;Yes
1721;132735477;132735477;0.002;1,81E+13;390;39001;3584;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;20415.1508904221;581.309960240476;Yes
1587;27916188;27916188;0.002;1,81E+13;390;39001;3450;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;20757.6048139383;582.218316721949;Yes
1152;27559603;27559603;0.002;1,81E+13;436;43613;3015;Reservoir: Reservoir Type = Water Storage;;;;
1253;27913000;27913000;0.002;1,81E+13;390;39001;3116;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;16279.2683419486;584.244366543802;Yes
1358;27684774;27684774;0.002;1,81E+13;436;43613;3221;Reservoir: Reservoir Type = Water Storage;;;;
1510;27928562;27928562;0.002;1,81E+13;390;39001;3373;Lake/Pond: Hydrographic Category = Intermittent;Intermittent;20182.752811438;584.719302691312;Yes
